MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.9100000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924789,4.8620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-0.0700000
MsgID.LOCAL_POSITION,207.4310000,-0.1211393,0.0377696,-4.8623724
MsgID.LOCAL_VELOCITY,207.4310000,0.0021721,0.0122324,-0.0708038
MsgID.LOCAL_POSITION,207.6820000,0.0609958,-0.0911661,-4.7571206
MsgID.LOCAL_VELOCITY,207.6820000,0.0085504,0.0113102,0.7443194
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924805,4.7570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,0.7400000
MsgID.LOCAL_POSITION,207.9330000,0.0993746,0.0353729,-4.6909404
MsgID.LOCAL_VELOCITY,207.9330000,-0.0443447,0.5328793,0.0960027
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924808,4.6900000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,0.5300000,0.0900000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974456,37.7924789,4.7370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0600000,1.2100000,-0.0400000
MsgID.LOCAL_POSITION,208.1820000,-0.1185103,0.3900304,-4.7378716
MsgID.LOCAL_VELOCITY,208.1820000,0.0652150,1.2141191,-0.0429643
MsgID.GLOBAL_POSITION,0.0000000,-122.3974433,37.7924809,4.7580000
MsgID.LOCAL_VELOCITY,0.0000000,1.0500000,1.1600000,0.1000000
MsgID.LOCAL_POSITION,208.4320000,0.1057126,0.5866954,-4.7580075
MsgID.LOCAL_VELOCITY,208.4320000,1.0586882,1.1683034,0.1017522
MsgID.GLOBAL_POSITION,0.0000000,-122.3974419,37.7924843,4.7400000
MsgID.LOCAL_VELOCITY,0.0000000,1.4800000,1.2800000,0.0500000
MsgID.LOCAL_POSITION,208.6830000,0.4859204,0.7135752,-4.7405572
MsgID.LOCAL_VELOCITY,208.6830000,1.4896295,1.2856568,0.0565158
